text,verb,explanation,madarian,romen,ro_correct,hanzi,han_correct,page,description,toggle
Belgique,sf,,比利时,’pi-li-zeh kôh,’pi-li’-zeh kôh,比利時國,,70,,TRUE
Bélier,sm,,公羊,yong yang,,雄羊,,70,,TRUE
Bélier,sm,,公羊,kong yang.,,公羊,,70,,TRUE
Bélier,sm, --. Machine de guerre.,羊头锤。战斗工具,yang deû ze.,,羊頭錘,,70,待定,TRUE
Belle-de-nuit,sf,,月光花,pé’ gnéh lié,,半日連,,70,待定,TRUE
Belle-de-nuit,sf,,月光花,zao lai h‘ouo.,,潮來花,,70,,TRUE
Belle-fille,sf,Bru.,儿媳,sih(sin) wou’.,,媳（新）婦,,70,,TRUE
Belle-fille,sf,Fille d'un 1er mariage.,初婚时生的女儿,yeû bing neu,,油瓶囡,,70,,TRUE
Belle-fille,sf,Fille d'un 1er mariage.,初婚时生的女儿,keu sang neu.,,乾生囡,,70,,TRUE
Bellement,adv,,慢慢地,mè’ mè’ tse,,慢慢之,,70,,TRUE
Bellement,adv,,慢慢地,mè mè neng,mè’ mè’ neng,慢慢能,,70,,TRUE
Bellement,adv,,慢慢地,ts‘ong ts‘ong yong yong.,,從從容容,,70,,TRUE
Belle-mère,sf,Mère du mari.,丈夫的母亲,bou,,婆,,70,,TRUE
Belle-mère,sf,Mère du mari.,丈夫的母亲,bou ah ’ma,bou ah ma,婆阿媽,,70,,TRUE
Belle-mère,sf,Mère de la femme.,妻子的母亲,za’ m,,丈㜷,,70,待定,TRUE
Belle-mère,sf,Mère de la femme.,妻子的母亲,za’ m gnang.,,丈㜷娘,,70,,TRUE
Belle-mère,sf,Seconde femme du père.,父亲的第二任妻子,ki’ ’mou,,繼母,,70,,TRUE
Belle-mère,sf,Seconde femme du père.,父亲的第二任妻子,’mè gnang,,晚娘,,70,,TRUE
Belle-mère,sf,Seconde femme du père.,父亲的第二任妻子,keu sang gnang.,,乾生娘,,70,,TRUE
Belle-sœur,sf,Sœur de la femme.,妻子的姐妹,dou’ i,dou’ yi,大姨,,70,,TRUE
Belle-sœur,sf,Sœur de la femme.,妻子的姐妹,gnang i,gnang yi,娘姨,,70,,TRUE
Belle-sœur,sf,Sœur du mari.,丈夫的姐妹,’ma ’ma,ma ma,媽媽,,70,,TRUE
Belle-sœur,sf,Sœur du mari.,丈夫的姐妹,ah ’ma,ah ma,阿媽,,70,,TRUE
Belle-sœur,sf,Sœur du mari.,丈夫的姐妹,gnang gnang,,娘娘,,70,,TRUE
Belle-sœur,sf,Sœur du mari.,丈夫的姐妹,ah gnang.,,阿娘,,70,,TRUE
Belle-sœur,sf,Femme d'un frère(aîné).,哥哥的妻子,’sao ’sao,,嫂嫂,,70,,TRUE
Belle-sœur,sf,Femme d'un frère(aîné).,哥哥的妻子,ah ’sao.,,阿嫂,,70,,TRUE
Belle-sœur,sf,",, ,, (puîné).",弟弟的妻子,di’ wou’,,弟婦,,70,,TRUE
Belle-sœur,sf,",, ,, (puîné).",弟弟的妻子,di’ sin wou’.,,弟媳婦,弟新婦,70,待定,TRUE
Belle-sœur,sf,Les belles-sœurs (femmes de plusieurs frères).,多个兄弟的妻子,pah m.,,伯㜷,,70,,TRUE
Belligérant,adj,,参战,’tang tsang’ kôh dou’.,,打仗國度,,70,,TRUE
Belliqueux,adj,,好战,’hi h‘oé ’tang tsang’.,,喜歡打仗,,70,,TRUE
Belvédère,sm, -au dessus de porte de ville.,城门上方的城楼,ding ’tse,,亭子,,70,,TRUE
Belvédère,sm, -au dessus de porte de ville.,城门上方的城楼,zeng leû.,,城樓,,70,,TRUE
Bénédicité,sm,(C.),餐前祝福经,vè’ zié kieng.,,飯前經,,70,,TRUE
Bénédiction,sf,,赐福,kiang’ foh.,,降福,,70,,TRUE
Bénédiction,sf,Faveur céleste.,天主的恩惠,T‘ié ’tsu ke’ en ’tié.,,天主个恩典,,70,,TRUE
Bénédiction,sf, -- du St Sacrement.(C.),圣体赐福,seng’ t‘i kiang’ foh.,,聖體降福,,70,,TRUE
Bénéfice,sm,Avantage.,好处,’h‘ao ts‘u’,,好處,,70,,TRUE
Bénéfice,sm,Avantage.,好处,yeh ts‘u’.,,益處,,70,,TRUE
Bénéfice,sm,"Revenu, gain.",利息,li’,,利,,70,,TRUE
Bénéfice,sm,"Revenu, gain.",利息,li’ sih.,,利息,,70,,TRUE
Bénéfice,sm,Chercher les petits --s.,找一些小益处,zin ’tié ’siao ’h‘ao ts‘u’.,,尋點小好處,,70,,TRUE
Bénéficier,vn,,得到（好处）,teh li’,,得利,,70,,TRUE
Bénéficier,vn,,得到（好处）,teh zah li’.,,得着利,,70,,TRUE
Bénévolement,adv,,自愿地,ké sin,,甘心,,70,,TRUE
Bénévolement,adv,,自愿地,zing gneu’.,,情願,,70,,TRUE
Bénin,adj,Doux.,温柔,liang zé’.,,良善,,70,待定,TRUE
Bénin,adj,Léger. ,轻。病状轻微,k‘ieng,,輕,,70,,TRUE
Bénin,adj,La maladie est bénigne.,轻。病状轻微,’siao bing’,,小病,,70,,TRUE
Bénin,adj,La maladie est bénigne.,轻。病状轻微,bing’ k‘ieng.,,病輕,,70,,TRUE
Bénir,va,- un objet,降福；祝圣-一件物品,seng’,,聖,,71,,TRUE
Bénir,va,- un objet,降福；祝圣-一件物品,’tsôh seng’,,祝聖,,71,,TRUE
Bénir,va,- une personne (C.),降福；祝圣-一个人,kiang’ foh,,降福,,71,,TRUE
Bénir,va,- Dieu (le louer),称扬，赞美-上帝,tsè’ ’mei,,贊美,,71,,TRUE
Bénir,va,- Dieu (le remercier),感恩，感谢-上帝,’ké zia’,,感謝,,71,,TRUE
Bénit,adj,(objet)(C.),祝圣过的,seng’ wéh,,聖物,,71,,TRUE
Bénit,adj,(objet)(C.),祝圣过的,seng’ wéh méh ze’,,聖物物事,,71,,TRUE
Bénirier,sm,(C.),圣水缸,seng’ ’se wou (kaong),,聖水壺（缸）,,71,,TRUE
Benjamin,sm,(le dernier né),最小的小孩,’siao n (gni) ’tse,,小兒子,,71,,TRUE
Benjamin,sm,(le dernier né),最小的小孩,’na méh deû gni ’tse,,奶末頭兒子,,71,,TRUE
Benjoin,sm,,安息香,eu sih hiang,,安息香,,71,,TRUE
Benoît,sm,,,’pen-toh,,本篤,,71,,TRUE
Béquille,sf,,,ts‘ang deû,,撑頭,,71,,TRUE
Béquille,sf,,,o ’koen,,椏棍,,71,待定,TRUE
Bercail,sm,,羊栏,yang bang,,羊棚,,71,,TRUE
Berceau,sm,,婴儿小床；摇篮,k‘oen’ k‘ou,,睏窠,,71,,TRUE
Berceau,sm,,婴儿小床；摇篮,eu lè,eû lè,傴籃,,71,,TRUE
berceau,sm,,婴儿小床；摇篮,mié ’den,,眠囤,,71,,TRUE
bercer,va,(un enfant),（放在摇篮里）摇（婴儿）,yao yao eû lè,,摇摇傴籃,,71,,TRUE
bercer,vr,Se - d'un vain espoir,怀抱徒劳的希望,k‘ong p‘è maong’,k‘ong p‘è’ maong’,空盼望,,71,,TRUE
bercer,vr,Se - d'un vain espoir,怀抱徒劳的希望,bah maong’ t‘éh ,,白望脱,,71,,TRUE
bercer,vr,Se - d'un vain espoir,怀抱徒劳的希望,maong’ k‘ong,,望空,,71,,TRUE
berge,sf,- d'une rivière,河岸,wou ngeu’,,河岸,,71,,TRUE
berge,sf,- d'un chemin,道路或沟渠两侧高出的陡坡,p‘ou ’tse,,坡子,,71,,TRUE
berger,sf,,牧羊人，羊倌,k‘eu yang ke’,,看羊个,,71,,TRUE
berger,sf,,牧羊人，羊倌,moh dong,,牧童,,71,,TRUE
berger,sf,Étoile du -,牧羊人星，晓星？,hiao sing,’hiao sing,曉星,,71,,TRUE
bergerie,sf,,羊舍，羊棚，羊圈,yang k‘ieu [ih ke’],,羊圈[一个],,71,待定,TRUE
Bergeronnette,,,鹡鸰,zang ’gni pouo laong,,長尾巴狼,,71,,TRUE
berlue,sf,Avoir la -,眼睛突然发花,’ngè h‘ouo ,,眼花,,71,,TRUE
berlue,sf,Avoir la -,看错，搞错，判断错,’siang ts‘ouo’,,想錯,,71,,TRUE
berner,va,,（引申义）欺骗，愚弄，嘲弄,ki siao’,,譏笑,,71,,TRUE
besace,sf,,褡裢,sao’ ’mo ’tse,,袑𧜗子,,71,待定,TRUE
besace,sf,,褡裢,tèh lié,,褡褳,,71,,TRUE
besicles,sf. pl.,,眼镜,’ngè kieng [ih fou’],’ngè kieng’ [ih fou’],眼鏡[一副],,71,,TRUE
besogne,sf,,工作，活计，活儿,kong fou,,工夫,,71,,TRUE
besogne,sf,,工作，活计，活儿,sang wéh,,生活,,71,,TRUE
besogneux,adj,,劳作而不足以糊口的；贫困的,’k‘ou ’nao,,苦惱,,71,,TRUE
besogneux,adj,,劳作而不足以糊口的；贫困的,nè kou’ gnéh ’tse,,難過日子,,71,,TRUE
besoin,sm,Être dans le -,处于贫困中,ghiong ’k‘ou,,窮苦,,71,,TRUE
besoin,sm,Être dans le -,处于贫困中,wéh véh kou’ gnéh ’tse,,活勿過日子,,71,,TRUE
besoin,sm,Avoir - de qqch,需要,k‘ieuh ’sao,,缺少,,71,,TRUE
besoin,sm,Avoir - de qqch,需要,su yong’,,需用,,71,,TRUE
besoin,sm,- de faire une chose,需要-做一件事,kai taong,,該當,,71,,TRUE
besoin,sm,- de faire une chose,需要-做一件事,yeng’ kai,,應該,,71,,TRUE
besoin,sm,N'avoir pas -,不需要,yong’ véh zah,,用勿着,,71,,TRUE
besoin,sm,N'avoir pas -,不需要,véh yao’ ’kien,,勿要緊,,71,,TRUE
besoin,sm,-s naturels,生理欲求，排泄欲,ts‘éh kong,,出恭,,71,,TRUE
besoin,sm,-s naturels,生理欲求，排泄欲,’ka ’seû,,解手,,71,,TRUE
besoin,sm,Faire les grands -s,大便,ts‘éh dou’ kong,,出大恭,,71,,TRUE
besoin,sm,Faire les grands -s,大便,dou’ ’ka ’seû,,大解手,,71,,TRUE
besoin,sm,Faire les grands -s,大便,dou’ bié’,,大便,,71,,TRUE
besoin,sm,Les petits -s,小便,ts‘éh ’siao kong,,出小恭,,71,,TRUE
besoin,sm,Les petits -s,小便,’siao ’ka ’seû,,小解手,,71,,TRUE
besoin,sm,Les petits -s,小便,’siao bié’,,小便,,71,,TRUE
bestial,adj,,禽兽一般的,tsong’ sang ke’,tsong  sang ke’,中生个,,71,,TRUE
bestial,adj,,禽兽一般的,ghien seû’ ke’,,禽獸个,,71,,TRUE
bestiaux,sm. pl.,,家畜，牲畜,mô gneu yang,’mô gneu yang,馬牛羊,,72,,TRUE
bestiaux,sm. pl.,,家畜，牲畜,sang ’k‘eû,,牲口,,72,,TRUE
bestiole,sf,,小动物；小虫子,’siao zong,,小虫,,72,保留簡體,TRUE
bestiole,sf,,小动物；小虫子,zong gni,zong gni’,虫蟻,,72,保留簡體,TRUE
bêta,sm,,愚蠢的人，傻呵呵的人,ngai ben’,,呆笨,,72,,TRUE
bête,sf,,兽类，牲口，畜生；动物,ts‘ôh sang,,畜生,,72,,TRUE
bête,sf,- sauvage,野兽,’ya seû’,,野獸,,72,,TRUE
bête,sf,commerce de bêtes de somme,役畜生意,lou ’mô hang,,騾馬行,,72,,TRUE
bête,adj,,愚蠢的，傻的,kaong dou’,’gaong dou’,戇大,,72,,TRUE
bête,adj,,愚蠢的，傻的,ngou deû,,蛾頭,,72,待定,TRUE
bête,adj,,愚蠢的，傻的,ben’ gneû,,笨牛,,72,,TRUE
bête,adj,,愚蠢的，傻的,tai ’tse,,呆子,,72,待定,TRUE
bétel,sm,,槟榔,pin laong ’tse,,檳榔子,,72,,TRUE
bêtement,adv,,愚蠢地，傻呵呵地,hoen hoen tong’ tong’,h‘oen h‘oen dong’ dong’,昏昏洞洞,,72,待定,TRUE
bêtises,sf,Dire des -s,说傻话,wou dou seh wo’,,糊塗説話,,72,,TRUE
bêtises,sf,Dire des -s,说傻话,hèh wo’ ,h‘èh wo’ ,瞎話,,72,,TRUE
bêtises,sf,Faire des -s,做蠢事,hèh tsou’,h‘èh tsou’,瞎做,,72,,TRUE
bêtises,sf,Faire des -s,做蠢事,hèh lai lai,h‘èh lai lai,瞎來來,,72,,TRUE
Béton,sm,,混凝土,sè wou ’t‘ou,,三和土,,72,,TRUE
betterave,sf,,红菜头,hong ts‘ai’ deû,,紅菜頭,,72,,TRUE
beuglement,sf,,牛叫声,gneû kiao,gneû kiao’,牛叫,,72,,TRUE
beurre,sm,,黄油；奶油,’na yeû,,奶油,,72,,TRUE
Bévue,sf,,差错，错误,ts‘ouo ts‘u’,,差處,,72,,TRUE
Bézoard,,- de bœuf,牛黄,gneû waong,,牛黄,,72,,TRUE
Bézoard,,- de bœuf,牛黄,si waong,,犀黄,,72,,TRUE
Bézoard,,- de chien,狗宝,’keû ’pao,,狗寶,,72,,TRUE
biais,,Être de -,倾斜,zia(véh tseng’),,斜（勿正）,,72,,TRUE
biais,,Être de -,倾斜,wang,,横,,72,,TRUE
biaiser,vn,,倾斜,wè wè k‘iôh k‘iôh ,,彎彎曲曲,,72,原作“灣彎曲曲”,TRUE
bibelot,sm,,小玩意儿,béh siang’ keu,,孛相干,,72,,TRUE
bibelot,sm,,小玩意儿,béh siang’ méh ze’,,孛相物事,,72,,TRUE
bibelot,sm,,小件古玩,kou’ ’tong wè’ k‘i,’kou ’tong wè’ k‘i’,古董玩器,,72,變調,TRUE
biberon,sm,,奶瓶,’na wou,,奶壺,,72,,TRUE
bible,sf,La sainte -,圣经,’kou sin seng’ kieng,,古新聖經,,72,,TRUE
bible,sf,La sainte -,圣经,seng’ su,,聖書,,72,,TRUE
bibliomanie,,,藏书癖,su p‘ieh,,書癖,,72,,TRUE
bibliothécaire,sm,,图书管理员,’koé su kè ke’,,管書間个,,72,,TRUE
bibliothèque,sf,Salle,书房,su kè,,書間,,72,,TRUE
bibliothèque,sf,,藏书,zaong su,,藏書,,72,,TRUE
bibliothèque,sf,Salle,书房,su waong,,書房,,72,,TRUE
bibliothèque,sf,- impériale,皇家藏书,se’ k‘ou zié su,se’ k‘ou’ zié su,四庫全書,,72,待定,TRUE
bibliothèque,sf,Armoire,书橱,su zu,,書厨,,72,,TRUE
biche,sf,,母鹿,ts‘e(’mou) lôh,,雌（母）鹿,,72,,TRUE
bichon,sm,,短鼻长卷毛小狗，狮子狗,’siao pa eul’ ’keû,’siao pa ’eul ’keû,小巴爾狗,,72,,TRUE
bicyclette,sf,,自行车,kiah dèh ts‘ouo [ih ’bou],,脚踏車[一部],,72,待定 部聲調,TRUE
bien,sm,,善；善良,’zé,,善,,72,待定 善聲調 僅此一次,TRUE
bien,sm,,善；善良,’h‘ao,,好,,72,,TRUE
bien,sm,Faire le bien,行善,tsou’ ’h‘ao ze’,,做好事,,72,,TRUE
bien,sm,Faire le bien,行善,hang zé’,,行善,,72,,TRUE
bien,sm,Faire le bien,行善,sieû hang,,修行,,72,,TRUE
bien,sm,Homme de -,善良的人，君子,zé’(’hao) gnen,zé’(’h‘ao) gnen,善（好）人,,72,,TRUE
bien,sm,Revenir au -,回归善良，改邪归正,k‘i’ zia koei tseng’,,棄邪歸正,,72,,TRUE
bien,sm,Avantage: pour votre -,利益，好处：为了您的利益,wei’ nong’ ke’ ’h‘ao ts‘u’,,爲儂个好處,,72,,TRUE
bien,sm,Jouissances: les -s d'ici bas,享受，乐趣：永福，天堂之福,se’ ka’ deû laong’ ke’ ’k‘oai loh,se’ ka’ deû laong’ ke’ k‘oa’ loh,世界頭上个快樂,,72,待定 快讀音,TRUE
bien,sm,Richesses,财富；财宝,kien gnen ’pao pei’,,金銀寳貝,,73,,TRUE
bien,sm,Richesses,财富；财宝,zai wéh,,財物,,73,,TRUE
bien,sm,Patrimoine,家产,ka ’ts‘è,,家産,,73,,TRUE
bien,sm,Patrimoine,家产,’ts‘è gnéh,,産業,,73,,TRUE
bien,sm,Dissiper son -,挥霍完家产,k‘ieng ka ’daong’ ’ts‘è ,,傾家蕩産,,73,,TRUE
bien,sm,Dissiper son -,挥霍完家产,liao teh tsing ’tang koang,,了得精打光,,73,,TRUE
bien,adv,,好，令人满意地,’h‘ao,,好,,73,,TRUE
bien,adv,,好，令人满意地,’h‘ao ’h‘ao neng,,好好能,,73,,TRUE
bien,adv,Tant - que mal,好歹，马马虎虎，勉勉强强,véh da’ ’li dou’ ’h‘ao,,勿大裏大好,,73,,TRUE
bien,adv,Tant - que mal,好歹，马马虎虎，勉勉强强,m sa’ ’na neng ’h‘ao,,無啥那能好,嘸啥那能好,73,,TRUE
bien,adv,Tant - que mal,好歹，马马虎虎，勉勉强强,tsiang zieû’ ’la ’lao,,將就拉咾,,73,,TRUE
bien,adv,Très.Beaucoup.,非常好,zéh fen ’h‘ao,,十分好,,73,,TRUE
bien,adv,Très.Beaucoup.,非常好,ghieh ghi ’h‘ao,,極奇好,,73,,TRUE
bien,adv,Très.Beaucoup.,非常好,’h‘ao ta,,好多,,73,,TRUE
bien,adv,Il y a - longtemps que,很长时间,zang ’yeu(ze heû’) ’tsé,,常遠（時候）者,,73,,TRUE
bien,adv,Il y a - longtemps que,很长时间,gnéh ’tse deû tou ’tsé,,日子頭多者,,73,,TRUE
bien,adv,- que.loc.conj.,尽管，虽然,su zé,,雖然,,73,,TRUE
bien,adv,-!-! Interj.Suffit!,行了!够了!,ba’ ’tsé ba’ ’tsé,,罷者罷者,,73,,TRUE
bien,adv,-!-! Interj.Suffit!,行了!够了!,seu’ sou’ ba’,,算數罷,,73,,TRUE
bien-aimé,adj,,心爱的，亲爱的,ghieh ai’ ke’,,極愛个,,73,,TRUE
bien-aimé,adj,,心爱的，亲爱的,teh ’ts‘ong ke’,,得寵个,,73,,TRUE
bien-dire,sm,,说的好；好口才,wo’  teh ’h‘ao,,話得好,,73,,TRUE
bien-être,sm,Éprouver du,舒适，安逸,sin ’li ’k‘a’ wéh lai,,心裏快活來,,73,,TRUE
bien-être,sm,Éprouver du,舒适，安逸,mè saong k‘i’,mè ’saong k‘i’,蠻爽氣,,73,,TRUE
bienfaisance,sf,,慈悲，仁爱，善心,zing ven’,,情分,,73,,TRUE
bienfaisance,sf,Exercer la -,行善，济贫,tsou’ ’h‘ao ze’,,做好事,,73,,TRUE
bienfaisance,sf,",, ,,(faire l'aumône) est difficile",行善不易,’h‘ao ze’ nè tsou’,,好事難做,,73,,TRUE
bienfaisant,adj,,乐善好施的，行善的,yeû zing ven’,’yeû zing ven’,有情分,,73,字形,TRUE
bienfaisant,adj,,乐善好施的，行善的,wei zé’ ke’,,爲善个,,73,,TRUE
bienfait,sm,,善行，恩德，恩惠,en tié ,en ’tié ,恩典,,73,,TRUE
bienfait,sm,Grand -,大恩大德,dou’ en tié,dou’ en ’tié,大恩典,,73,,TRUE
bienfait,sm,Accorder un -,给予恩惠,ka en tié,ka en ’tié,加恩典,,73,,TRUE
bienfait,sm,Accorder un -,给予恩惠,ka en wei,ka en wei’,加恩惠,,73,,TRUE
bienfait,sm,Reconnaître un -,感恩,’ké en,,感恩,,73,,TRUE
bienfaiteur,sm,,施恩者，恩人,en gnen(’tsu),,恩人（主）,,73,,TRUE
bienfaiteur,sm,,施恩者，恩人,se ’tsu,,施主,,73,,TRUE
bien-fonds,sm,,不动产,dié di’ waong ôh,,田地房屋,,73,,TRUE
bien-fonds,sm,,不动产,dié waong ôh ’ts‘è,,田房屋産,,73,,TRUE
bienheureux,adj,,享福的,hiang’ foh ke’,,享福个,,73,,TRUE
bienheureux,adj,,享福的,foh zen,,福人,,73,,TRUE
bienheureux,adj,Ayant le vrai bonheur,享有真福的,hiang’ tsen foh ke’,,享真福个,,73,,TRUE
bienheureux,sm,Béatifié (C.),,’yeû tsen foh seng’ ’p‘in,,有真福聖品,,73,,TRUE
bienheureux,sm,Béatifié (C.) Les - (C.),,t‘ié zen seng’ gnen,,天神聖人,,73,,TRUE
biennal,,Qui dure 2 ans,为期两年,liang gné ke’,’liang gné ke’,两年个,,73,保留簡體,TRUE
biennal,,Qui se fait tous les 2 ans,每两年进行一次,liang gné ’liang gné ke’,’liang gné ’liang gné ke’,兩年兩年个,,73,,TRUE
bienséance,sf,,礼貌；礼节；礼仪,li mao’,’li mao’,禮貌,,73,,TRUE
bienséance,sf,,礼貌；礼节；礼仪,koei ’kiu,,規矩,,73,,TRUE
bienséance,sf,Manquer à la -,缺少礼节；失礼,séh ’li,,失禮,,73,,TRUE
bienséance,sf,Manquer à la -,缺少礼节；失礼,séh koei,,失規,,73,,TRUE
bienséance,sf,Chose contraire à la -,违反礼节的事,véh tsao’ ’li t‘i ke’,véh tsao’ ’li ’t‘i ke’,勿照禮體个,,73,,TRUE
bienséance,sf,Chose contraire à la -,违反礼节的事,vè’ koei,,犯規,,73,,TRUE
bienséant,adj,,合乎礼仪的，有礼貌的,tsao’ ’li ’t‘i,,照禮體,,73,,TRUE
bientôt,adv,,不久，马上,tsih k‘eh,,即刻,,74,,TRUE
bientôt,adv,,不久，马上,zu tsih,,隨即,,74,,TRUE
bientôt,adv,,不久，马上,k‘oa’ ’tsé,,快者,,74,,TRUE
bientôt,adv,,不久，马上,véh tou zang ’yeu,,勿多常遠,,74,,TRUE
bientôt,adv,À - . loc.adv.,回头见。一会儿见。,hiéh hiéh wei’,,歇歇會,,74,,TRUE
bientôt,adv,À - . loc.adv.,回头见。一会儿见。,heû’ lai wei’,,後來會,,74,,TRUE
bientôt,adv,À - . loc.adv.,回头见。一会儿见。,è’ lai wei’,,晚歇會,晏歇會,74,,TRUE
bientôt,adv,À - . loc.adv.,回头见。一会儿见。,zu ze wei’,,隨時會,,74,,TRUE
bienveillance,sf,,善心，仁慈,gnen zing,,人情,,74,,TRUE
bienveillance,sf,,善心，仁慈,en zing,,恩情,,74,,TRUE
bienveillance,sf,,善心，仁慈,zen ze,,仁慈,,74,,TRUE
bienveillance,sf,S'attirer la -,博得善意,’za gnen dai’ ’ngou h‘ao,’za gnen dai’ ’ngou ’h‘ao,惹人待我好,,74,待定,TRUE
bienveillant,adj,,仁慈的，和蔼的,wen wou,,温和,,74,,TRUE
bienveillant,adj,,仁慈的，和蔼的,liang zé’,,良善,,74,,TRUE
bienveillant,adj,,仁慈的，和蔼的,’h‘ao sin,,好心,,74,,TRUE
bière,sf,,啤酒,da’ mah ’se,,大麥水,,74,,TRUE
bière,sf,Cercueil,棺材,koé zai,,棺材,,74,,TRUE
biffer,va,- des caractères,划掉-文字,dou méh,,塗没,,74,,TRUE
biffer,va,- des caractères,划掉-文字,’tié t‘éh,,點脱,,74,,TRUE
biffer,va,- des caractères,划掉-文字,k‘ieu t‘éh,,圈脱,,74,,TRUE
biffer,va,- des caractères,划掉-文字,gao’ t‘éh,,㙱脱,？脱,74,,TRUE
biffer,va,- des caractères,划掉-文字,keû zu,,勾除,,74,,TRUE
bifteck,sm,,牛排,tseh ke’ gneû gnôh [ih k‘oei],,炙个牛肉[一塊],,74,,TRUE
bifurcation,sf,- d'un chemin.,道路分岔,fen lou’,,分路,,74,,TRUE
bifurcation,sf,- d'un chemin.,道路分岔,sè ts‘ouo lou’,,三叉路,,74,待定,TRUE
bifurcation,sf,- d'une rivière,河流分岔,ts‘ouo wou,,叉河,,74,,TRUE
bifurcation,sf,- d'une rivière,河流分岔,sè o yang’ k‘eû,sè o yang’ ’k‘eû,三丫漾口,,74,,TRUE
bifurquer,vr,(Se),分岔,fen ’leang ts‘ouo,,分兩叉,,74,,TRUE
bigame,sm. et adj.,,重婚的（人）,t‘ao’ dou’ ’siao gnang ’tse,’t‘ao dou’ ’siao gnang ’tse,討大小娘子,,74,,TRUE
bigame,sm. et adj.,,重婚的（人）,t‘ao’ dou’ ’siao ’lao bou,’t‘ao dou’ ’siao ’lao bou,討大小老婆,,74,,TRUE
bigarré,adj,,斑驳的，五颜六色的,’n ngè lôh seh,,五顔六色,,74,,TRUE
bigorneau,sm,,滨螺,ts‘ih ngè pèh seh ke’,,七顔八色个,,74,,TRUE
,,,,lou se,,螺螄,,74,,TRUE
bijou,sm,,首饰,tsen ’pao,,珍寶,,74,,TRUE
bijou,sm,,首饰,tsen tsu ’pao pei’,,珍珠寶貝,,74,,TRUE
bilan,sm,,资产负债表，借贷对照表,bé tsang’,,盤賬,,74,,TRUE
bilan,sm,Déposer son -,倒帐，呈报破产,’tao tié’,,倒店,,74,,TRUE
bilan,sm,Déposer son -,倒帐，呈报破产,koè tié’,,關店,,74,,TRUE
bile,sf,,,dè,,痰,,74,,TRUE
bile,sf,,,waong tè,,黄[疒丹],,74,待定 另作“黄疸”（去聲）,TRUE
bile,sf,,激怒某人,k‘i’,,氣,,74,,TRUE
bile,sf. Fig., Je veux décharger cette -,我要出这口气,’ngou yao’ ts‘éh di’ ke’ k‘i’ ,,我要出第个氣,,74,,TRUE
billard,,,台球，弹子，桌球,dè ’tse dai,,彈子臺,,74,,TRUE
billard,,Jouer au -,打桌球,tang dè ’tse,’tang dè ’tse,打彈子,,74,,TRUE
bille,sf,,弹子，小球,’siao ghieû,,小球,,74,,TRUE
billet,sm,,短笺，便条,’tse diao,,紙條,,74,,TRUE
billet,sm,,短笺，便条,t‘ih ’tse,,帖子,,74,,TRUE
billet,sm,,短笺，便条,sin,sin’,信,,74,,TRUE
billet,sm,- de banque,钞票；纸币,gnen p‘iao’,,銀票,,74,,TRUE
billet,sm,- de banque,钞票；纸币,zié p‘iao’,,錢票,,74,,TRUE
billet,sm,- à ordre,期票,ghi p‘iao’,,期票,,74,,TRUE
billet,sm,- à ordre,期票,tsia’ p‘iao’,,借票,,74,,TRUE
billet,sm,- à ordre,期票,wei’ p‘iao’,,滙票,,74,,TRUE
billet,sm,- au porteur,不记名票据,ts‘ao’ p‘iao’,,鈔票,,74,待定,TRUE
billet,sm,- d'invitation,请帖,’ts‘ing t‘ih,,請帖,,74,,TRUE
billet,sm,- d'excuse,辞帖,ze t‘ih,,辭帖,,74,,TRUE
billet,sm,- de remerciement,感谢帖,zia’(t‘ih) tè,,謝（帖）單,,74,,TRUE
billet,sm,- de remerciement,感谢帖,’ling zia’,,領謝,,74,,TRUE
billet,sm,- de faire part pʳ deuil,,pao’ saong t‘ih ’tse,,報喪帖子,,74,,TRUE
billet,sm,"-,, pour réjouissances",,’wou ’hi t‘ih ’tse,wou’ ’hi t‘ih ’tse,賀喜帖子,,74,,TRUE
billevesées,sf. pl.,,废话，空话,weû wo’,,浮話,,74,,TRUE
billion,sm,,万亿,ih ts‘ié zao’,,一千兆,,74,,TRUE
billon,sm,,铜币,dong dié,,銅錢,,74,,TRUE
bimane,adj,,有两前肢的（动物）,’yeû ’liang tsah ’seû ke’,,有兩隻手个,,74,,TRUE
bimbelot,sm,,小摆设、小玩意儿,béh siang’ keu,,孛相干,,75,,TRUE
biner,va,- la terre,锄地,tsai’ ben’ di’,,再坌地,,75,,TRUE
binocle,sm,,眼镜,saong ’ngè kieng’,,雙眼鏡,,75,,TRUE
biographie,sf,,传记,zé,,傳,,75,,TRUE
biographie,sf,,传记,hang zéh,,行實,,75,,TRUE
bique,sf,,母山羊,’mou sè yang,,母山羊,,75,,TRUE
bisaïeul,,paternel,曾祖父,né t‘a’ t‘a’,,男太太,,75,,TRUE
bisaïeul,,-e paternelle,曾祖母,’gnu t‘a’ t‘a’,,女太太,,75,,TRUE
bisaïeul,,maternel,外曾祖父,nga’ né’ t‘a’ t‘a’,nga’ né t‘a’ t‘a’,外男太太,,75,,TRUE
bisaïeul,,-e maternelle,外曾祖母,nga’ t‘a’ t‘a’,,外太太,,75,,TRUE
bisannuel,adj,,每两年一次的,liang gné ke’,’liang gné ke’,兩年个,,75,,TRUE
bisbille,sf,(Ètre toujour en),总是有小口角，小争吵,zang zang ’siao dao k‘i’,,常常小淘氣,,75,,TRUE
