vocabulary,originalEntry,explanation,example,pinYin,location,place,source,toggle,whichCounty,whichTown
直堵里(直堵裏),[空],<方位词>竖里。 [例句暂无](<方位詞>豎裡。[例句暫無]),[例句暂无]([例句暫無]),zeq1 tu22 li23(zəʔ1 ɗu22 li23),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
直心直肚肠(直心直肚腸),[空],心直口快，心口如一[例句暂无](心直口快，心口如一[例句暫無]),[例句暂无]([例句暫無]),zeoq2 sin53 zeoq2 du55 zan53(zʌʔ2 siŋ53 zʌʔ2 du55 zæ̃53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
直接车(直接車),[空],直达车。 [例句暂无](直達車。[例句暫無]),[例句暂无]([例句暫無]),zeq tsiq tsho(zʌʔ2 ʦiɪʔ4 ʦʰo53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
直拔直(直拔直),[空],直来直去，说话做事不拐弯抹角。 [例句暂无](直來直去，說話做事不拐彎抹角。[例句暫無]),[例句暂无]([例句暫無]),zeoq2 baeq2 zeoq2(zʌʔ2 bæʔ2 zʌʔ2),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
直鼓笼统(直鼓籠統),[空],①臃肿。 [例句暂无](①臃腫。[例句暫無]),[例句暂无]([例句暫無]),zeoq ku lon thon(IPA暂无),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
直鼓笼统(直鼓籠統),[空],②形容说话直来直去。 [例句暂无](②形容說話直來直去。[例句暫無]),[例句暂无]([例句暫無]),zeoq ku lon thon(IPA暂无),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
直长使笼统(直長使籠統),[空],性格直爽，不转弯。 [例句暂无](性格直爽，不轉彎。[例句暫無]),[例句暂无]([例句暫無]),zeoq zan sy lon thon(IPA暂无),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
直贡呢(直貢呢),[空],精致光滑的斜纹毛织品，质地厚实，多用来做大衣或鞋面[例句暂无](精緻光滑的斜紋毛織品，質地厚實，多用來做大衣或鞋面[例句暫無]),[例句暂无]([例句暫無]),zeoq2 kon55 gni31(zʌʔ2 koŋ55 ɲi31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
直桶guan(直桶guan),[空],直统[例句暂无](直統[例句暫無]),[例句暂无]([例句暫無]),zeoq2 don55 guan53(zʌʔ2 doŋ55 guæ̃53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
直直腰(直直腰),[空],[暂无][例句暂无]([暫無][例句暫無]),[例句暂无]([例句暫無]),zeoq2 zeoq2 iau53(zʌʔ2 zʌʔ2 iɔ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
直条直刮(直條直刮),[空],直截了当[例句暂无](直截了當[例句暫無]),[例句暂无]([例句暫無]),zeoq2 diau53 zeoq2 kuaeq2(zʌʔ2 diɔ53 zʌʔ2 kuæʔ2),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茄(茄),[空],聊天。 [例句暂无](聊天。[例句暫無]),[例句暂无]([例句暫無]),ga(gɑ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茄=(茄=),[空],腌制[例句:～落苏](腌製[例句:～落蘇]),～落苏(～落蘇),ga31(gɑ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茄(茄),[空],从腰部把人搀扶住，扶着走[例句暂无](從腰部把人攙扶住，扶著走[例句暫無]),[例句暂无]([例句暫無]),ga31(gɑ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茄山河(茄山河),[空],<动词>聊天。 [例句暂无](<動詞>聊天。[例句暫無]),[例句暂无]([例句暫無]),ga13 sae55 vu31(gɑ13 sɛ55 βu31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茄河(茄河),[空],聊天。 [例句暂无](聊天。[例句暫無]),[例句暂无]([例句暫無]),ga13 vu53(gɑ13 βu53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茄勾(茄勾),[空],扑克牌中的J。 [例句暂无](撲克牌中的J。[例句暫無]),[例句暂无]([例句暫無]),jia keu(ɟiɑ23 kɯ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茄人(茄人),[空],精明能干的人，多指女性。 [例句暂无](精明能幹的人，多指女性。[例句暫無]),[例句暂无]([例句暫無]),jia gnin(ɟiɑ23 ɲiŋ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茄子(茄子),[空],<植物>[暂无][例句暂无](<植物>[暫無][例句暫無]),[例句暂无]([例句暫無]),ga22 tsy44(gɑ22 tsɿ44),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茄门辣椒(茄門辣椒),[空],<植物>甜椒。 [例句暂无](<植物>甜椒。[例句暫無]),[例句暂无]([例句暫無]),ga22 men55 laq3 tsiau21(gɑ22 məŋ55 laʔ3 tsiɔ21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茄门椒(茄門椒),[空],<植物>柿子椒[例句暂无](<植物>柿子椒[例句暫無]),[例句暂无]([例句暫無]),ga22 men22 tsiau22(gɑ22 məŋ22 tsiɔ22),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茄克衫(茄克衫),[空],<植物>[暂无][例句暂无](<植物>[暫無][例句暫無]),[例句暂无]([例句暫無]),jia kheq sae(ɟiɑ23 kʰəʔ4 sɛ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茅柴(茅柴),[空],<植物>白茅。 [例句暂无](<植物>白茅。[例句暫無]),[例句暂无]([例句暫無]),mau za(mɔ23 zɑ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茅柴草(茅柴草),[空],<植物>[暂无][例句暂无](<植物>[暫無][例句暫無]),[例句暂无]([例句暫無]),mau za tshau(mɔ23 zɑ44 ʦʰɔ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
茅针(茅針),[空],<植物>茅柴草的孕穗，稍带甜味，嫩时可食用。 [例句暂无](<植物>茅柴草的孕穗，稍帶甜味，嫩時可食用。[例句暫無]),[例句暂无]([例句暫無]),mau tsen(mɔ23 ʦəŋ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
苔心菜(苔心菜),[空],<植物>油菜。 [例句暂无](<植物>油菜。[例句暫無]),[例句暂无]([例句暫無]),de13 sin55 tshe31(de13 siŋ55 tsʰe31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枉空(枉空),[空],责备别人无知[例句暂无](責備別人無知[例句暫無]),[例句暂无]([例句暫無]),uaon35 khon31(uɒ̃35 kʰoŋ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枉空(枉空),[空],①突然，白白地[例句暂无](①突然，白白地[例句暫無]),[例句暂无]([例句暫無]),uaon35 khon53(uɒ̃35 kʰoŋ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枉空(枉空),[空],②用来斥人干坏事[例句暂无](②用來斥人幹壞事[例句暫無]),[例句暂无]([例句暫無]),uaon35 khon53(uɒ̃35 kʰoŋ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枉声(枉聲),[空],委屈[例句暂无](委屈[例句暫無]),[例句暂无]([例句暫無]),uaon53 sen31(uɒ̃53 səŋ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枉为人世(枉為人世),[空],斥做事不合道德规范者。 [例句暂无](斥做事不合道德規範者。[例句暫無]),[例句暂无]([例句暫無]),uaon ve gnin sy(IPA暂无),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枝杨(枝楊),[空],<植物>灌木，干臃肿，叶如柳而阔，多栽在宅前屋后。 [例句暂无](<植物>灌木，幹臃腫，葉如柳而闊，多栽在宅前屋後。[例句暫無]),[例句暂无]([例句暫無]),tsy yan(IPA暂无),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枇杷(枇杷),[空],[暂无][例句暂无]([暫無][例句暫無]),[例句暂无]([例句暫無]),biq2 bo53(biɪʔ2 bo53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板(板),[空],结成硬块，凝结。 [例句暂无](結成硬塊，凝結。[例句暫無]),[例句暂无]([例句暫無]),pae(ɓɛ44),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板抄(板抄),[空],方头平板锹。 [例句暂无](方頭平板鍬。[例句暫無]),[例句暂无]([例句暫無]),pae tshau(IPA暂无),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板壁(板壁),[空],用来分隔房间的一排木板。 [例句暂无](用來分隔房間的一排木板。[例句暫無]),[例句暂无]([例句暫無]),pae35 pieq31(ɓɛ35 ɓiʌʔ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板铺(板鋪),[空],<器具>木板床。 [例句暂无](<器具>木板床。[例句暫無]),[例句暂无]([例句暫無]),pe33 phu44(ɓe33 pʰu44),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板床(板床),[空],<器具>木板床。 [例句暂无](<器具>木板床。[例句暫無]),[例句暂无]([例句暫無]),pe33 zaon23(ɓe33 zɒ̃23),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板床(板牀),[空],<农事>旧时脱粒时使用的大木桶。金山[例句暂无](<農事>舊時脫粒時使用的大木桶。金山[例句暫無]),[例句暂无]([例句暫無]),pae23 zaon53(ɓɛ23 zɒ̃53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板箱(板箱),[空],内衬纸板的木板箱子。 [例句暂无](內襯紙板的木板箱子。[例句暫無]),[例句暂无]([例句暫無]),pae35 sian31(ɓɛ35 siæ̃31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板门(板門),[空],特指停放死尸的门板。 [例句暂无](特指停放死屍的門板。[例句暫無]),[例句暂无]([例句暫無]),pae men(ɓɛ35 məŋ21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板面孔(板面孔),[空],<动词>板着脸。生气，翻脸。 [例句:是奴再吵，我奴要～哉。 ](<動詞>板著臉。生氣，翻臉。[例句:是奴再吵，我奴要～哉。]),是奴再吵，我奴要～哉。(是奴再吵，我奴要～哉。),pae33 mi55 khon31(ɓɛ33 mi55 kʰoŋ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板扎(板扎),[空],原指牢固，扎实。 [例句暂无](原指牢固，扎實。[例句暫無]),[例句暂无]([例句暫無]),pae35 tsaeq31(ɓɛ35 tsæʔ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板扎(板扎),[空],引申为做事一丝不苟，也指行为方正。 [例句暂无](引申為做事一絲不苟，也指行為方正。[例句暫無]),[例句暂无]([例句暫無]),pae35 tsaeq31(ɓɛ35 tsæʔ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板正(板正),[空],<副词>一定，肯定，确定。 [例句暂无](<副詞>一定，肯定，確定。[例句暫無]),[例句暂无]([例句暫無]),pae tsen(IPA暂无),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板数(板數),[空],<副词>一定，肯定，确定。 [例句暂无](<副詞>一定，肯定，確定。[例句暫無]),[例句暂无]([例句暫無]),pae su(IPA暂无),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板(板),[空],<副词>一定，肯定，确定。 [例句暂无](<副詞>一定，肯定，確定。[例句暫無]),[例句暂无]([例句暫無]),pae44(ɓɛ44),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板定(板定),[空],<副词>习惯如此[例句暂无](<副詞>習慣如此[例句暫無]),[例句暂无]([例句暫無]),pae44 din44(ɓɛ44 diŋ44),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板定(板定),[空],<副词>必定，必然[例句暂无](<副詞>必定，必然[例句暫無]),[例句暂无]([例句暫無]),pae44 din44(ɓɛ44 diŋ44),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板凳(板凳),[空],两张四点（上下各两点）牌组成的一对[例句暂无](兩張四點（上下各兩點）牌組成的一對[例句暫無]),[例句暂无]([例句暫無]),pae44 ten44(ɓɛ44 ɗəŋ44),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板驳(板駁),[空],辩驳[例句暂无](辯駁[例句暫無]),[例句暂无]([例句暫無]),pae35 paoq31(ɓɛ35 ɓɒʔ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板栗(板栗),[空],<植物>[暂无][例句暂无](<植物>[暫無][例句暫無]),[例句暂无]([例句暫無]),pe33 liq4(ɓe33 liɪʔ4),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板猪油(板猪油),[空],[暂无][例句暂无]([暫無][例句暫無]),[例句暂无]([例句暫無]),ɓɛ33ʦɿ55ɦiɤ21(ɓɛ33ʦɿ55ɦiɤ21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板干丝(板乾絲),[空],干丝[例句暂无](乾絲[例句暫無]),[例句暂无]([例句暫無]),pae33 koe55 sy31(ɓɛ33 kø55 sɿ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板咾干(板咾乾),[空],较小的一种豆腐干，是腌制腊豆腐的原料[例句暂无](較小的一種豆腐乾，是醃製臘豆腐的原料[例句暫無]),[例句暂无]([例句暫無]),pae33 lau55 koe31(ɓɛ33 lɔ55 kø31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板杀之数(板殺之數),[空],<形容词>可以预见的，肯定的。 [例句暂无](<形容詞>可以預見的，肯定的。[例句暫無]),[例句暂无]([例句暫無]),pae22 saeq5 tsy55 su21(ɓɛ22 sæʔ5 tsɿ55 su21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板杀数(板殺數),[空],<形容词>可以预见的，肯定的。 [例句暂无](<形容詞>可以預見的，肯定的。[例句暫無]),[例句暂无]([例句暫無]),pe33 saq5 su21(ɓe33 saʔ5 su21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板板(板板),[空],铜板，童语[例句暂无](銅板，童語[例句暫無]),[例句暂无]([例句暫無]),pae44 pae44(ɓɛ44 ɓɛ44),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板板六四(板板六四),[空],一本正经。 [例句暂无](一本正經。[例句暫無]),[例句暂无]([例句暫無]),pae pae loq sy(IPA暂无),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
板板六十四(板板六十四),[空],<俗语>形容刻板[例句暂无](<俗語>形容刻板[例句暫無]),[例句暂无]([例句暫無]),pae33 pae55 loq3 zeq3 sy31(ɓɛ33 ɓɛ55 loʔ3 zəʔ3 sɿ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
松子糖(松子糖),[空],[暂无][例句暂无]([暫無][例句暫無]),[例句暂无]([例句暫無]),son tsy daon(soŋ44 ʦɿ44 dɒ̃53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
松树(松樹),[空],<饮食>[暂无][例句暂无](<飲食>[暫無][例句暫無]),[例句暂无]([例句暫無]),son55 ziu31(soŋ55 zy31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
松毛(松毛),[空],松针[例句暂无](松針[例句暫無]),[例句暂无]([例句暫無]),son35 mau53(soŋ35 mɔ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
松香(松香),[空],[暂无][例句暂无]([暫無][例句暫無]),[例句暂无]([例句暫無]),son35 shian53(soŋ35 çiæ̃53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
松戳头(松戳頭),[空],松江人，讽刺松江人只爱做表面文章[例句暂无](松江人，諷刺松江人只愛做表面文章[例句暫無]),[例句暂无]([例句暫無]),son35 tshoq5 deu31(soŋ35 tsʰoʔ5 dɯ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
松花粉(松花粉),[空],婴儿止痒用的粉[例句暂无](嬰兒止癢用的粉[例句暫無]),[例句暂无]([例句暫無]),son35 ho55 fen31(soŋ35 ho55 ɸəŋ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
杭(杭),[空],承受[例句暂无](承受[例句暫無]),[例句暂无]([例句暫無]),ghaon31(ɦɒ̃31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
杭鞭笋(杭鞭筍),[空],<植物>竹鞭上长出的芽，似竹笋，秋天产。 [例句暂无](<植物>竹鞭上長出的芽，似竹筍，秋天產。[例句暫無]),[例句暂无]([例句暫無]),ghaon24 pie55 sen21(ɦɒ̃24 ɓie55 səŋ21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
杭州篮(杭州籃),[空],旧时农家逢婚嫁喜事，用于装馒头糕点分发亲朋好友。 [例句暂无](舊時農家逢婚嫁喜事，用於裝饅頭糕點分發親朋好友。[例句暫無]),[例句暂无]([例句暫無]),ghaon13 tseu55 lae31(ɦɒ̃13 tsɯ55 lɛ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
杭铁头(杭鐵頭),[空],杭州人，讽刺杭州人宁折不弯[例句暂无](杭州人，諷刺杭州人寧折不彎[例句暫無]),[例句暂无]([例句暫無]),ghaon13 thiq5 deu31(ɦɒ̃13 tʰiɪʔ5 dɯ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
杭勿住(杭勿住),[空],<动词>吃不消[例句暂无](<動詞>喫不消[例句暫無]),[例句暂无]([例句暫無]),ghaon22 ueq2 ziu22(ɦɒ̃22 uəʔ2 zy22),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
杭勿落(杭勿落),[空],<动词>吃不消[例句暂无](<動詞>喫不消[例句暫無]),[例句暂无]([例句暫無]),ghaon22 ueq2 laoq2(ɦɒ̃22 uəʔ2 lɒʔ2),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
杭勿消(杭勿消),[空],<动词>吃不消[例句暂无](<動詞>喫不消[例句暫無]),[例句暂无]([例句暫無]),ghaon13 ueq5 siau31(ɦɒ̃13 uəʔ5 siɔ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
杭勿准(杭勿準),[空],<动词>无法料定，捉摸不透[例句暂无](<動詞>無法料定，捉摸不透[例句暫無]),[例句暂无]([例句暫無]),ghaon22 ueq2 tsen22(ɦɒ̃22 uəʔ2 tsəŋ22),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枕芯(枕芯),[空],<器具>[暂无][例句暂无](<器具>[暫無][例句暫無]),[例句暂无]([例句暫無]),tsen53 sin31(tsəŋ53 siŋ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枕头(枕頭),[空],<器具>[暂无][例句暂无](<器具>[暫無][例句暫無]),[例句暂无]([例句暫無]),tsen53 deu31(tsəŋ53 dɯ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枕头衣(枕頭衣),[空],<器具>旧时缚在枕芯上的布片，现已改用枕套。 [例句暂无](<器具>舊時縛在枕芯上的布片，現已改用枕套。[例句暫無]),[例句暂无]([例句暫無]),tsen55 deu33 i31(tsəŋ55 dɯ33 i31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枕头套(枕頭套),[空],<器具>旧时缚在枕芯上的布片，现已改用枕套。 [例句暂无](<器具>舊時縛在枕芯上的布片，現已改用枕套。[例句暫無]),[例句暂无]([例句暫無]),tsen55 deu33 thau31(tsəŋ55 dɯ33 tʰɔ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枕头心子(枕頭心子),[空],<器具>枕芯。 [例句暂无](<器具>枕芯。[例句暫無]),[例句暂无]([例句暫無]),tsen55 deu33 sin33 tsy31(tsəŋ55 dɯ33 siŋ33 tsɿ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枕头胆(枕頭膽),[空],<器具>枕芯。 [例句暂无](<器具>枕芯。[例句暫無]),[例句暂无]([例句暫無]),tsen55 deu33 tae31(tsəŋ55 dɯ33 ɗɛ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枕头席(枕頭席),[空],<器具>铺在枕头上的小块席子[例句暂无](<器具>鋪在枕頭上的小塊席子[例句暫無]),[例句暂无]([例句暫無]),tsen55 deu35 zieq31(tsəŋ55 dɯ35 ziʌʔ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枕头席子(枕頭席子),[空],<器具>铺在枕头上的小块席子[例句暂无](<器具>鋪在枕頭上的小塊席子[例句暫無]),[例句暂无]([例句暫無]),tsen33 deu55 ziq3 tsy21(tsəŋ33 dɯ55 ziɪʔ3 tsɿ21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枕头毛巾(枕頭毛巾),[空],<器具>铺在枕头上的小块毛巾。 [例句暂无](<器具>鋪在枕頭上的小塊毛巾。[例句暫無]),[例句暂无]([例句暫無]),tsen33 deu55 mau33 cin21(tsəŋ33 dɯ55 mɔ33 ciŋ21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
枕套(枕套),[空],<器具>[暂无][例句暂无](<器具>[暫無][例句暫無]),[例句暂无]([例句暫無]),tsen33 thau44(tsəŋ33 tʰɔ44),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东洋草(東洋草),[空],水花生。 [例句暂无](水花生。[例句暫無]),[例句暂无]([例句暫無]),ton yan tshau(ɗoŋ44 ɦiæ̃44 ʦʰɔ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东洋人(東洋人),[空],<人品职业>日本人。 [例句暂无](<人品職業>日本人。[例句暫無]),[例句暂无]([例句暫無]),ton35 yan55 gnin31(ɗoŋ35 ɦiæ̃55 ɲiŋ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东家(東家),[空],<人品职业>①相对客人而言。 [例句暂无](<人品職業>①相對客人而言。[例句暫無]),[例句暂无]([例句暫無]),ton35 ka53(ɗoŋ35 kɑ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东家(東家),[空],<人品职业>②相对佣工而言。 [例句暂无](<人品職業>②相對傭工而言。[例句暫無]),[例句暂无]([例句暫無]),ton35 ka53(ɗoŋ35 kɑ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东家(東家),[空],<人品职业>③相对仆人而言。 [例句暂无](<人品職業>③相對僕人而言。[例句暫無]),[例句暂无]([例句暫無]),ton35 ka53(ɗoŋ35 kɑ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东家(東家),[空],<人品职业>④物主。 [例句暂无](<人品職業>④物主。[例句暫無]),[例句暂无]([例句暫無]),ton35 ka53(ɗoŋ35 kɑ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东西(東西),[空],<器具>[暂无][例句暂无](<器具>[暫無][例句暫無]),[例句暂无]([例句暫無]),ton55 si21(ɗoŋ55 si21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东首(東首),[空],<方位词>东面。 [例句暂无](<方位詞>東面。[例句暫無]),[例句暂无]([例句暫無]),ton35 seu53(ɗoŋ35 sɯ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东壗(東壗),[空],<方位词>东面。 [例句暂无](<方位詞>東面。[例句暫無]),[例句暂无]([例句暫無]),ton55 he21(ɗoŋ55 he21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东壗头(東壗頭),[空],<方位词>东面。 [例句暂无](<方位詞>東面。[例句暫無]),[例句暂无]([例句暫無]),ton33 hae55 deu31(ɗoŋ33 hɛ55 dɯ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东头(東頭),[空],<方位词>东面。 [例句暂无](<方位詞>東面。[例句暫無]),[例句暂无]([例句暫無]),ton35 deu53(ɗoŋ35 dɯ53),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东横头(東橫頭),[空],<方位词>东面。 [例句暂无](<方位詞>東面。[例句暫無]),[例句暂无]([例句暫無]),ton van deu(ɗoŋ53 βæ̃22 dɯ21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东面(東面),[空],<方位词>[暂无][例句暂无](<方位詞>[暫無][例句暫無]),[例句暂无]([例句暫無]),ton55 mi31(ɗoŋ55 mi31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东半丬(東半爿),[空],<方位词>[暂无][例句暂无](<方位詞>[暫無][例句暫無]),[例句暂无]([例句暫無]),ton55 pe33 bae31(ɗoŋ55 ɓe33 bɛ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东坡肉(東坡肉),[空],<饮食>连皮带骨切成方块红焖而成的大块肉。 [例句暂无](<飲食>連皮帶骨切成方塊紅燜而成的大塊肉。[例句暫無]),[例句暂无]([例句暫無]),ton55 phu33 gnioq2(ɗoŋ55 pʰu33 ɲioʔ2),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东厾西掼(東厾西摜),[空],<动词>乱放东西。 [例句暂无](<動詞>亂放東西。[例句暫無]),[例句暂无]([例句暫無]),ton55 taoq3 si33 guae21(ɗoŋ55 ɗɒʔ3 si33 guɛ21),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东趒西站(東趒西站),[空],到处奔走张罗，形容着急的样子[例句暂无](到處奔走張羅，形容著急的樣子[例句暫無]),[例句暂无]([例句暫無]),ton35 diau55 si33 zae31(ɗoŋ35 diɔ55 si33 zɛ31),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
东搭黄浦西搭海(東搭黃浦西搭海),[空],①说话东拉西扯，抓不住中心[例句暂无](①說話東拉西扯，抓不住中心[例句暫無]),[例句暂无]([例句暫無]),ton53 taeq31 vaon13 phu53 si53 taeq31 he44(ɗoŋ53 ɗæʔ31 βɒ̃13 pʰu53 si53 ɗæʔ31 he44),[空],上海郊區吳語詞典,滬郊(松府)綜合,TRUE,comprehensive_search,
